Date,High,Low,Close,SMA,14 DaysHigh,14 days Min,%K
6/7/23,31.370001,30.93,31.280001,,37.110001,31.370001,80.46872711
6/8/23,31.85,31.059999,31.82,,37.110001,31.85,57.5187594
6/9/23,31.99,30.68,31.34,,37.110001,31.99,31.07140395
6/12/23,33.299999,31.360001,33.07,,37.110001,33.240002,49.99994643
6/13/23,33.950001,33.07,33.91,,37.110001,33.240002,56.42852015
6/14/23,35.599998,33.799999,35.580002,,37.110001,33.240002,16.78561314
6/15/23,36.419998,35.220001,35.82,,37.110001,32.040001,-2.500072321
6/16/23,36.799999,35.599998,36.369999,,37.110001,32.040001,-23.04526749
6/20/23,37.110001,34.720001,35,,37.110001,32.040001,-4.090914669
6/21/23,35.049999,32.830002,32.900002,,35.049999,32.040001,-1.652947203
6/22/23,33.240002,32.130001,32.709999,,34.23,32.040001,3.313283133
6/23/23,33.450001,32.029999,33,,34.299999,32.040001,0
6/26/23,33.990002,33.099998,33.34,,34.299999,32.040001,-21.68665663
6/27/23,34.23,33.009998,34.099998,,34.599998,32.040001,5.369127517
6/28/23,33.810001,33.029999,33.57,,34.700001,32.040001,9.731577181
6/29/23,33.34,32.490002,32.91,,34.84,32.040001,8.389261745
6/30/23,33.560001,33.16,33.439999,,34.84,32.040001,-28.18791946
7/3/23,33.889999,33.139999,33.619999,,34.84,32.040001,-7.823131913
7/5/23,33.330002,32.5,32.509998,,34.84,32.040001,-24.91225436
7/6/23,32.040001,31.379999,31.969999,,34.84,32.040001,-8.421125762
7/7/23,32.41,31.82,31.85,,34.84,32.41,-6.390902256
7/10/23,32.830002,31.77,32.740002,,35.029999,32.830002,-17.85724809
7/11/23,33.360001,32.5,33.299999,,36.990002,33.360001,85.9376062
7/12/23,34.080002,33.060001,33.98,,37.189999,33.869999,60.55557238
7/13/23,34.299999,33.619999,33.869999,,37.189999,33.869999,92.92601286
7/14/23,33.869999,33,33.150002,,37.189999,33.869999,52.85712602
7/17/23,34.599998,33.07,34.369999,,37.189999,34.209999,69.99998929
7/18/23,34.700001,33.830002,34.5,,37.189999,34.209999,79.64284987
7/19/23,34.84,34.330002,34.459999,,37.189999,34.209999,82.85717245
7/20/23,34.209999,33.23,33.369999,,37.189999,34.209999,75.35716977
7/21/23,34.25,33.419998,34.02,,37.189999,34.25,48.92855319
7/24/23,34.459999,33.560001,33.630001,,37.189999,34.34,63.21430829
7/25/23,34.34,33.400002,34.099998,,37.189999,34.34,70.71427526
7/26/23,34.529999,33.700001,34.360001,,37.189999,34.529999,98.92860676
7/27/23,35.029999,34.110001,34.549999,,37.189999,34.950001,48.4375
7/28/23,36.990002,35.509998,36.830002,,37.189999,34.630001,13.77775556
7/31/23,37.189999,35.669998,35.77,,37.189999,33.59,-7.333288889
8/1/23,36.02,35.279999,35.799999,,36.02,32.91,-2.946593002
8/2/23,35.18,34.279999,34.389999,,35.709999,32.91,-0.530017293
8/3/23,35.029999,34.130001,34.869999,,35.709999,32.91,-9.392320442
8/4/23,35.560001,34.48,35.139999,,35.709999,32.91,8.695624796
8/7/23,35.549999,34.75,35.23,,35.709999,32.91,-12.14396166
8/8/23,35.099998,33.860001,35.02,,35.709999,32.91,-2.248906222
8/9/23,35.099998,34.23,34.279999,,35.709999,32.91,-2.543719786
8/10/23,35.09,34.48,34.68,,35.709999,32.91,-3.041127013
8/11/23,34.950001,34.360001,34.889999,,35.709999,32.91,-2.40297597
8/14/23,35.709999,34.470001,35.68,,35.709999,32.91,-9.312684992
8/15/23,35.630001,34.75,34.77,,36.75,32.91,28.21578838
8/16/23,34.630001,33.459999,33.529999,,37.41,32.91,35.13512835
8/17/23,33.59,32.349998,32.580002,,37.41,32.91,45.78948319
8/18/23,32.91,32.18,32.75,,38.34,32.91,66.84211108
8/21/23,33.169998,32.02,33.139999,,38.830002,33.169998,63.85962038
8/22/23,33.799999,32.830002,32.889999,,38.830002,33.400002,74.03509227
8/23/23,34.150002,32.799999,33.98,,40.07,33.400002,78.77195109
8/24/23,34.09,32.490002,32.59,,40.07,33.400002,90.7949221
8/25/23,33.400002,32.349998,33.25,,40.07,33.400002,94.92265237
8/28/23,33.779999,33.209999,33.619999,,40.07,33.779999,84.57834107
8/29/23,34.48,33.470001,34.310001,,40.07,34.48,90.04982587
8/30/23,34.66,33.779999,34.529999,,40.07,34.66,52.81505437
8/31/23,35.560001,34.299999,35.139999,,40.07,35.560001,14.74653019
9/1/23,36.75,35.73,36.610001,,40.07,35.25,11.81445762
9/5/23,37.41,36.459999,36.709999,,40.07,34.889999,-7.142819549
9/6/23,37.040001,36.029999,36.98,,40.07,34.369999,-2.806945399
9/7/23,38.34,36.75,38.18,,40.07,34.369999,-38.93427137
9/8/23,38.830002,37.709999,38.009998,,40.07,34.369999,-9.205066613
9/11/23,38.740002,37.84,38.59,,40.07,34.369999,-30.76921105
9/12/23,40.07,38.650002,38.860001,,40.07,34.369999,-27.48097139
9/13/23,39.150002,38.25,38.709999,,39.150002,34.369999,-41.9355307
9/14/23,38.900002,38.299999,38.669998,,38.900002,34.369999,-27.50006042
9/15/23,38.52,37.619999,37.880001,,38.52,34.369999,36.45321532
9/18/23,38.389999,37.509998,37.990002,,38.389999,34.369999,47.01191473
9/19/23,38.099998,36.02,36.34,,38.099998,34.369999,62.81581227
9/20/23,36.25,34.630001,34.689999,,36.540001,34.369999,71
9/21/23,35.25,34.459999,34.650002,,36.740002,34.369999,80.249975
9/22/23,34.889999,34.139999,34.18,,37.029999,34.369999,91.5
9/25/23,34.369999,33.77,34.290001,,37.220001,34.369999,90.499975
9/26/23,34.779999,33.639999,33.830002,,37.220001,34.779999,67.07318709
9/27/23,34.830002,33.880001,34.610001,,37.220001,34.830002,72.60871144
9/28/23,35.66,34.380001,35.18,,37.220001,35.66,55.68628543
9/29/23,35.91,35.16,35.549999,,37.220001,35.91,47.45095048
10/2/23,35.98,34.98,35.459999,,37.220001,35.98,43.13374241
10/3/23,36.540001,35.27,35.689999,,37.220001,36.02,29.92951938
10/4/23,36.52,35.330002,35.93,,37.220001,35.189999,11.09149453
10/5/23,36.099998,35.599998,35.889999,,37.220001,34.709999,23.74347942
10/6/23,36.459999,35.18,36.189999,,37.220001,34.450001,-6.759080284
10/9/23,36.169998,35.5,36.060001,,37.220001,33.220001,-11.16428849
10/10/23,36.740002,35.810001,36.43,,37.220001,33.220001,-8.60651463
10/11/23,37.029999,36.380001,36.880001,,37.220001,33.220001,-3.629030795
10/12/23,37.220001,36.389999,36.84,,37.220001,33.220001,-0.966850695
10/13/23,36.790001,35.860001,35.970001,,37.32,33.220001,-0.394204993
10/16/23,36.939999,36.080002,36.560001,,37.82,33.220001,-1.687749648
10/17/23,36.349998,35.07,36.060001,,38.32,33.220001,-0.891560311
10/18/23,36.02,35.450001,35.639999,,38.32,33.220001,-3.714710805
10/19/23,36.360001,35.52,35.669998,,38.900002,33.220001,3.900156006
10/20/23,36.279999,34.869999,34.919998,,38.900002,33.220001,-9.360405616
10/23/23,35.189999,33.389999,33.849998,,38.900002,33.220001,-10.55719941
10/24/23,34.709999,33.639999,34.59,,38.990002,33.220001,4.283618907
10/25/23,34.450001,32.549999,32.830002,,38.990002,33.220001,-5.022156573
10/26/23,33.220001,32.150002,32.52,,39.490002,33.220001,-1.367556023
10/27/23,36.380001,34.599998,35.540001,,40.84,35.959999,-5.111088889
10/30/23,35.959999,34.919998,35.689999,,43.400002,35.959999,34.75401139
10/31/23,36.57,35.619999,36.5,,43.810001,36.57,49.83608191
11/1/23,37.32,36.279999,37.290001,,44.93,37.32,80.32792798
11/2/23,37.82,36.91,37.700001,,44.93,37.82,44.26224402
11/3/23,38.32,37.669998,38.139999,,44.93,38.200001,45.24581811
11/6/23,38.200001,37.849998,37.950001,,44.93,38.200001,54.75405074
11/7/23,38.900002,37.98,38.77,,44.93,38.52,37.4477275
11/8/23,38.889999,37.75,37.919998,,44.93,38.52,38.95581104
11/9/23,38.52,37.77,37.799999,,45.34,38.52,53.21282193
11/10/23,38.990002,38.240002,38.860001,,45.34,38.57,48.39358401
11/13/23,38.57,38.139999,38.23,,45.34,38.57,29.11649179
11/14/23,39.490002,38.07,39.41,,45.34,39.490002,1.204759278
11/15/23,40.84,39.580002,40.610001,,45.34,40.84,-6.303288978
